Country,Vendor,Source,Data Domain,Subject Area,Product Name,Enrich Layer,Modelled layer,Analytics Layer,Updated/Released on:,GitHub repository(-ies),enrich layer sttm,model sttm,analytics sttm,Confluence Link(s) for other Docs.,Owner/Key SME,Decomissionning Status,Retention needs
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,TM_PD_PCMDTY_SUM,S_IQVIA_HDSC_TM_PD_PCMDTY_SUM,FACT_TM_PD_PCMDTY_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,TM_PD_PRODAK16_SUM,S_IQVIA_HDSC_TM_PD_PRODAK16_SUM,FACT_TM_PD_PRODAK16_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,ATC,S_IQVIA_HDSC_ATC,DIM_ATC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,CHNL,S_IQVIA_HDSC_CHNL,DIM_CHNL,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_PCMDTY_CHNLAK2_SUM,S_IQVIA_HDSC_MTHLY_PCMDTY_CHNLAK2_SUM,FACT_MTHLY_PCMDTY_CHNLAK2_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,NFC_CLAS,S_IQVIA_HDSC_NFC_CLAS,DIM_NFC_CLAS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG_STRC,S_IQVIA_HDSC_ORG_STRC,MAP_ORG_STRC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY_INGRD,S_IQVIA_HDSC_PCMDTY_INGRD,MAP_PCMDTY_INGRD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,SUBSTN,S_IQVIA_HDSC_SUBSTN,DIM_SUBSTN,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY_ASSC,S_IQVIA_HDSC_BNDRY_ASSC,MAP_BNDRY_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_BNDRYAK2_MKT_GRPAK5_PCMDTY_SPCL_SUM,S_IQVIA_HDSC_MTHLY_BNDRYAK2_MKT_GRPAK5_PCMDTY_SPCL_SUM,FACT_MTHLY_BNDRYAK2_MKT_GRPAK5_PCMDTY_SPCL_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD_ASSC,S_IQVIA_HDSC_PROD_ASSC,MAP_PROD_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_BNDRY_PCMDTY_SUM,S_IQVIA_HDSC_MTHLY_BNDRY_PCMDTY_SUM,FACT_MTHLY_BNDRY_PCMDTY_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_BNDRY_PROD_SUM,S_IQVIA_HDSC_MTHLY_BNDRY_PROD_SUM,FACT_MTHLY_BNDRY_PROD_SUM,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
BE,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC,S_IQVIA_HDSC_AC,DIM_AC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY_ASSC,S_IQVIA_HDSC_BNDRY_ASSC,MAP_BNDRY_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,LOC,S_IQVIA_HDSC_LOC,DIM_LOC,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_AC_PRODNM_SUM,S_IQVIA_HDSC_MTHLY_AC_PRODNM_SUM,FACT_MTHLY_AC_PRODNM_SUM,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_BNDRY_REAL,S_IQVIA_HDSC_MTHLY_BNDRY_REAL,FACT_MTHLY_BNDRY_REAL,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_BNDRYNM_SUM,S_IQVIA_HDSC_MTHLY_BNDRYNM_SUM,FACT_MTHLY_BNDRYNM_SUM,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-In,MTHLY_FR_BNDRY_TO_BNDRY_REAL,S_IQVIA_HDSC_MTHLY_FR_BNDRY_TO_BNDRY_REAL,FACT_MTHLY_FR_BNDRY_TO_BNDRY_REAL,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,LCL_CLAS,S_IQVIA_HDSC_LCL_CLAS,DIM_LCL_CLAS,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-Out,MTHLY_BNDRYNM_PCMDTY_SUM,S_IQVIA_HDSC_MTHLY_BNDRYNM_PCMDTY_SUM,FACT_MTHLY_BNDRYNM_PCMDTY_SUM,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG_STRC,S_IQVIA_HDSC_ORG_STRC,MAP_ORG_STRC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY_INGRD,S_IQVIA_HDSC_PCMDTY_INGRD,MAP_PCMDTY_INGRD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROC_FORM,S_IQVIA_HDSC_PROC_FORM,DIM_PROC_FORM,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,SUBSTN,S_IQVIA_HDSC_SUBSTN,DIM_SUBSTN,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY_ASSC,S_IQVIA_HDSC_BNDRY_ASSC,MAP_BNDRY_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,LCL_CLAS,S_IQVIA_HDSC_LCL_CLAS,DIM_LCL_CLAS,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Prescription,MTHLY_BNDRYNM_PCMDTYNM_STRNT_SPCLNM_SUM,S_IQVIA_HDSC_MTHLY_BNDRYNM_PCMDTYNM_STRNT_SPCLNM_SUM,FACT_MTHLY_BNDRYNM_PCMDTYNM_STRNT_SPCLNM_SUM,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , , ,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY_INGRD,S_IQVIA_HDSC_PCMDTY_INGRD,MAP_PCMDTY_INGRD,, , , ,,,,,
CA,IQVIA,IQVIA,Market Analytics,Channel Engagement,Multi-Channel 3rd Party,PRFSN_SPCL_TYP,S_IQVIA_HDSC_PRFSN_SPCL_TYP,REF_PRFSN_SPCL_TYP,,https://github.com/bayer-int/ph-cdp-db-liquibase-core-cph-db/blob/main/CPH_DB/SCHEMAS/ANALYTICS/regional/idempotent/views/VW_REF_PRFSN_SPCL_TYP_IQVIA_LOAD.sql,https://github.com/bayer-int/ph-cdp-sttm-design/blob/main/enriched/IQVIA%20HDSC_Enriched_CA_V18.4.xlsx,https://github.com/bayer-int/ph-cdp-sttm-design/blob/main/model/iqvia/IQVIA%20HDSC%20Modelling%20Layer%20STTM%2C%20AK%20FK%2C%20Data%20Set%20Mapping.xlsx,https://github.com/bayer-int/ph-cdp-sttm-design/blob/main/analytics/REF_PRFSN_SPCL_TYP.xlsx,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,SUBSTN,S_IQVIA_HDSC_SUBSTN,DIM_SUBSTN,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC,S_IQVIA_HDSC_AC,DIM_AC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,LOC,S_IQVIA_HDSC_LOC,DIM_LOC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC,S_IQVIA_HDSC_AC,DIM_AC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC_CHG,S_IQVIA_HDSC_AC_CHG,DIM_AC_CHG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,LOC,S_IQVIA_HDSC_LOC,DIM_LOC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,ATC,S_IQVIA_HDSC_ATC,DIM_ATC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Territory & Alignment,BNDRY,S_IQVIA_HDSC_BNDRY,DIM_BNDRY,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,LCL_CLAS,S_IQVIA_HDSC_LCL_CLAS,DIM_LCL_CLAS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY_INGRD,S_IQVIA_HDSC_PCMDTY_INGRD,MAP_PCMDTY_INGRD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROC_FORM,S_IQVIA_HDSC_PROC_FORM,DIM_PROC_FORM,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,SUBSTN,S_IQVIA_HDSC_SUBSTN,DIM_SUBSTN,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , ,,,,,,
CA,IQVIA,IQVIA,Miscelaneous ?,Patients & Claims,Claims Data,TM_PD_BNDRY_NM_PCMDTY_CLAIM_SUM,S_IQVIA_HDSC_TM_PD_BNDRY_NM_PCMDTY_CLAIM_SUM,FACT_TM_PD_BNDRYNM_PCMDTY_CLAIM_SUM,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PCMDTY,S_IQVIA_HDSC_PCMDTY,DIM_PCMDTY,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_PUBL_LOG,S_IQVIA_HDSC_DS_PUBL_LOG,MAP_DS_PUBL_LOG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,LCL_CLAS,S_IQVIA_HDSC_LCL_CLAS,DIM_LCL_CLAS,, , ,,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-Out,MTHLY_LCL_CLAS_SUM,S_IQVIA_HDSC_MTHLY_LCL_CLAS_SUM,FACT_MTHLY_LCL_CLAS_SUM,, , ,,,,,,
CA,IQVIA,IQVIA,Market Analytics,Sales Analytics,Sell-Out,MTHLY_PROD_SUM,S_IQVIA_HDSC_MTHLY_PROD_SUM,FACT_MTHLY_PROD_SUM,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,ORG,S_IQVIA_HDSC_ORG,DIM_ORG,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD,S_IQVIA_HDSC_PROD,DIM_PROD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Product,PROD_LCL_CLAS,S_IQVIA_HDSC_PROD_LCL_CLAS,MAP_PROD_LCL_CLAS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,TM_PD,S_IQVIA_HDSC_TM_PD,DIM_TM_PD,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Customer,AC,S_IQVIA_HDSC_AC,DIM_AC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS,S_IQVIA_HDSC_DS,DIM_DS,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_ASSC,S_IQVIA_HDSC_DS_ASSC,DIM_DS_ASSC,, , ,,,,,,
CA,IQVIA,IQVIA,Master & Reference Data,Master Data,Master Reference Data,DS_CLAS_ASSC,S_IQVIA_HDSC_DS_CLAS_ASSC,MAP_DS_CLAS_ASSC,, , ,,,,,,
